Depth sed [m]	Depth corr [m]	Age [ka BP]	G. bulloides [%]	G. inflata [%]	T. truncatulinoides [%]	G. siphonifera [%]	G. ruber [%]	G. rubescens [%]	G. tenella [%]	N. incompta [%]	N. pachyderma s [%]	T. quinqueloba d [%]	T. quinqueloba s [%]	G. glutinata [%]	G. scitula [%]	G. hirsuta [%]	O. universa [%]	T. crassaformis [%]	G. adamsi [%]	G. calida [%]	G. sacculifer [%]	G. digitata [%]	G. trilobus [%]	G. conglobatus [%]	Foram plankt indet [%]	T. quinqueloba [%]	Foram plankt tropical [%]	Foram plankt subpolar [%]	Foram plankt [#]
0.020	0.03	0.37	21.43	24.60	12.70	0.34	6.58	0.11	0.79	21.20	0.11	2.49	3.06	4.08	1.70	0.23	0.57	0	0.00	0	0	0.00	0	0	0	5.56	0.91	5.67	882
0.030	0.04	0.42	26.16	22.08	9.99	0.14	6.05	0.14	0.42	22.22	0.28	2.67	2.81	4.22	2.25	0.42	0.14	0	0.00	0	0	0.00	0	0	0	5.49	0.56	5.77	711
0.040	0.05	0.43	28.12	20.83	11.46	0.52	3.99	0.00	1.22	19.27	0.52	3.12	3.12	4.51	1.91	0.87	0.52	0	0.00	0	0	0.00	0	0	0	6.25	1.22	6.77	576
0.050	0.06	0.54	29.67	21.58	7.88	0.21	3.32	0.41	0.21	20.95	0.83	1.24	3.73	5.19	3.94	0.62	0.21	0	0.00	0	0	0.00	0	0	0	4.98	0.62	5.81	482
0.060	0.07	0.66	29.90	22.97	8.73	0.12	3.23	0.60	0.24	21.05	0.84	1.91	2.27	4.07	3.35	0.36	0.36	0	0.00	0	0	0.00	0	0	0	4.19	0.84	5.02	836
0.070	0.08	0.78	29.59	30.71	6.55	0.94	3.75	0.00	0.00	15.92	0.94	0.94	1.87	4.31	2.25	1.31	0.94	0	0.00	0	0	0.00	0	0	0	2.81	0.00	3.75	534
0.080	0.09	0.89	28.68	26.99	8.28	0.77	2.91	0.31	0.00	14.57	0.61	2.91	3.68	6.90	2.30	0.61	0.46	0	0.00	0	0	0.00	0	0	0	6.60	0.31	7.21	652
0.090	0.10	1.01	28.76	28.96	7.72	0.19	4.63	0.00	0.00	14.67	0.58	2.51	1.16	5.98	3.09	0.39	1.35	0	0.00	0	0	0.00	0	0	0	3.67	0.00	4.25	518
0.100	0.11	1.13	27.34	31.25	10.16	0.31	5.31	0.00	0.78	13.75	0.31	0.94	1.56	5.00	1.56	0.47	1.25	0	0.00	0	0	0.00	0	0	0	2.50	0.78	2.81	640
0.120	0.13	1.27	25.07	31.56	8.55	0.29	3.98	0.15	0.29	13.57	0.15	1.77	2.65	7.37	2.65	0.44	1.47	0	0.00	0	0	0.00	0	0	0	4.42	0.44	4.57	678
0.130	0.14	1.33	27.50	31.25	8.75	0.42	5.42	0.21	0.42	14.38	0.42	1.04	1.25	5.00	0.62	0.21	3.12	0	0.00	0	0	0.00	0	0	0	2.29	0.63	2.71	480
0.140	0.15	1.38	25.20	27.45	9.79	0.32	5.14	0.16	1.44	18.30	0.32	1.77	2.09	4.49	2.25	0.32	0.96	0	0.00	0	0	0.00	0	0	0	3.85	1.61	4.17	623
0.150	0.16	1.44	26.97	30.55	9.31	0.24	4.53	0.00	0.95	17.90	0.24	0.95	1.91	4.06	1.19	0.00	1.19	0	0.00	0	0	0.00	0	0	0	2.86	0.95	3.10	419
0.160	0.17	1.49	25.87	30.56	10.59	0.45	4.39	0.30	0.61	15.28	0.45	1.82	2.12	3.93	2.57	0.00	1.06	0	0.00	0	0	0.00	0	0	0	3.93	0.91	4.39	661
0.170	0.18	1.55	23.72	27.81	8.38	0.00	4.70	0.82	0.20	16.16	1.02	1.43	2.66	8.18	3.48	0.61	0.82	0	0.00	0	0	0.00	0	0	0	4.09	1.02	5.11	489
0.180	0.19	1.61	22.14	26.45	9.51	0.30	5.35	0.30	0.59	19.02	0.74	2.53	2.08	6.69	2.67	0.00	1.49	0	0.15	0	0	0.00	0	0	0	4.61	0.89	5.35	673
0.190	0.20	1.66	24.50	32.13	8.43	0.20	4.82	0.60	0.00	17.67	1.00	0.60	0.60	6.22	2.21	0.60	0.40	0	0.00	0	0	0.00	0	0	0	1.20	0.60	2.21	498
0.200	0.21	1.72	24.88	28.29	8.54	0.37	5.00	0.61	0.85	17.68	0.12	1.71	2.56	6.34	2.44	0.00	0.49	0	0.00	0	0	0.12	0	0	0	4.27	1.46	4.39	820
0.210	0.22	1.77	29.29	25.67	8.98	0.31	5.04	0.47	0.31	17.17	0.16	1.42	1.73	6.46	2.52	0.16	0.31	0	0.00	0	0	0.00	0	0	0	3.15	0.79	3.31	635
0.220	0.23	1.83	31.36	24.32	9.28	0.00	4.96	0.16	0.48	17.92	0.48	1.92	2.40	5.60	0.64	0.16	0.32	0	0.00	0	0	0.00	0	0	0	4.32	0.64	4.80	625
0.230	0.24	1.89	30.68	26.99	9.90	0.39	5.05	0.00	0.58	18.25	0.58	0.78	1.17	4.08	1.36	0.19	0.00	0	0.00	0	0	0.00	0	0	0	1.94	0.58	2.52	515
0.240	0.25	1.95	28.50	33.71	9.12	0.00	5.86	0.16	0.00	14.17	0.16	0.98	1.63	3.91	0.65	0.33	0.81	0	0.00	0	0	0.00	0	0	0	2.61	0.16	2.77	614
0.250	0.26	2.01	27.88	33.18	8.53	0.46	6.68	0.00	0.92	14.75	0.46	1.15	1.15	3.69	0.69	0.23	0.23	0	0.00	0	0	0.00	0	0	0	2.30	0.92	2.76	434
0.260	0.27	2.07	28.01	26.06	7.82	0.33	7.00	0.16	0.98	16.45	0.49	1.30	0.98	7.17	2.12	0.00	0.98	0	0.00	0	0	0.16	0	0	0	2.28	1.14	2.77	614
0.270	0.28	2.14	25.37	26.85	12.22	0.37	7.59	0.00	0.00	17.22	0.37	1.11	1.48	5.37	0.74	0.00	1.30	0	0.00	0	0	0.00	0	0	0	2.59	0.00	2.96	540
0.280	0.29	2.20	24.03	30.08	9.46	0.16	9.61	0.00	0.62	14.57	0.47	1.40	1.24	6.05	1.71	0.00	0.62	0	0.00	0	0	0.00	0	0	0	2.64	0.62	3.10	645
0.290	0.30	2.26	27.11	27.33	10.02	0.23	10.02	0.00	0.68	16.86	0.46	0.46	0.68	4.33	1.14	0.46	0.23	0	0.00	0	0	0.00	0	0	0	1.14	0.68	1.59	439
0.300	0.31	2.32	26.00	30.33	9.36	0.87	9.88	0.35	0.17	15.77	0.00	1.21	1.21	2.60	1.04	0.35	0.87	0	0.00	0	0	0.00	0	0	0	2.43	0.52	2.43	577
0.310	0.32	2.39	26.68	27.11	9.91	0.29	8.02	0.44	0.29	16.47	0.44	1.02	0.87	5.54	2.33	0.00	0.58	0	0.00	0	0	0.00	0	0	0	1.90	0.73	2.33	686
0.320	0.33	2.45	27.36	24.47	12.01	0.30	8.36	0.00	0.30	17.17	0.30	1.06	0.61	5.47	1.98	0.30	0.30	0	0.00	0	0	0.00	0	0	0	1.67	0.30	1.98	658
0.330	0.34	2.51	27.76	28.26	10.37	0.50	9.20	0.50	0.17	14.55	0.00	1.00	1.34	3.18	1.51	0.50	1.17	0	0.00	0	0	0.00	0	0	0	2.34	0.67	2.34	598
0.340	0.35	2.57	28.28	21.81	9.20	0.85	10.73	0.17	0.00	16.52	1.02	0.85	1.19	6.47	1.53	0.51	0.85	0	0.00	0	0	0.00	0	0	0	2.04	0.17	3.07	587
0.350	0.36	2.64	28.43	22.63	7.50	0.42	9.90	0.00	0.71	17.40	0.14	1.70	1.41	6.79	1.56	0.71	0.71	0	0.00	0	0	0.00	0	0	0	3.11	0.71	3.25	707
0.360	0.37	2.70	25.12	34.09	6.04	0.33	8.65	0.00	0.49	13.05	0.16	1.47	2.28	5.06	1.31	0.82	1.14	0	0.00	0	0	0.00	0	0	0	3.75	0.49	3.92	613
0.370	0.38	2.80	33.49	24.53	8.73	0.24	7.08	0.94	0.00	12.97	0.47	1.18	1.89	5.42	1.65	0.47	0.94	0	0.00	0	0	0.00	0	0	0	3.07	0.94	3.54	424
0.380	0.39	2.90	27.99	23.79	6.96	0.65	9.22	0.65	0.16	13.75	0.65	3.24	2.43	5.18	3.88	0.65	0.81	0	0.00	0	0	0.00	0	0	0	5.66	0.81	6.31	618
0.390	0.40	3.00	26.48	28.15	8.15	0.19	7.59	0.19	0.74	14.63	0.93	2.41	2.04	4.81	1.67	0.74	1.30	0	0.00	0	0	0.00	0	0	0	4.44	0.93	5.37	540
0.400	0.41	3.10	26.72	22.07	10.69	0.52	8.28	0.34	0.69	19.14	0.34	1.21	2.41	4.83	1.55	0.86	0.34	0	0.00	0	0	0.00	0	0	0	3.62	1.03	3.97	580
0.410	0.42	3.20	29.62	21.91	7.10	0.24	8.81	0.12	0.24	18.60	0.61	1.35	2.69	5.26	2.33	0.61	0.49	0	0.00	0	0	0.00	0	0	0	4.04	0.37	4.65	817
0.420	0.43	3.30	30.34	22.15	6.42	0.00	7.87	0.48	0.32	19.26	0.16	1.93	2.25	6.10	2.25	0.16	0.32	0	0.00	0	0	0.00	0	0	0	4.17	0.80	4.33	623
0.430	0.44	3.40	31.74	22.52	5.85	0.35	7.62	0.35	0.18	17.91	0.35	2.30	1.60	5.14	4.08	0.00	0.00	0	0.00	0	0	0.00	0	0	0	3.90	0.53	4.26	564
0.440	0.45	3.49	28.64	24.32	7.68	0.48	9.12	0.32	0.48	18.24	0.80	2.24	0.64	4.64	1.60	0.80	0.00	0	0.00	0	0	0.00	0	0	0	2.88	0.80	3.68	625
0.450	0.46	3.60	28.75	23.47	7.82	1.27	6.34	0.42	0.21	20.51	0.21	1.06	2.11	4.86	2.54	0.42	0.00	0	0.00	0	0	0.00	0	0	0	3.17	0.63	3.38	473
0.460	0.47	3.72	31.80	26.36	5.27	0.51	6.29	0.17	0.68	19.90	0.51	1.87	1.53	2.72	1.19	0.51	0.34	0	0.00	0	0	0.34	0	0	0	3.40	0.85	3.91	588
0.470	0.48	3.83	28.83	28.83	4.23	0.20	5.04	0.00	0.40	15.32	0.40	0.81	1.01	13.71	0.81	0.00	0.40	0	0.00	0	0	0.00	0	0	0	1.81	0.40	2.22	496
0.480	0.49	3.95	28.04	33.09	6.82	0.59	4.15	0.15	0.15	14.39	0.30	1.78	1.04	5.93	2.37	0.59	0.59	0	0.00	0	0	0.00	0	0	0	2.82	0.30	3.12	674
0.490	0.50	4.06	25.15	30.27	6.95	0.20	3.89	0.00	0.00	18.61	1.64	0.41	3.27	5.52	2.04	0.41	1.64	0	0.00	0	0	0.00	0	0	0	3.68	0.00	5.32	489
0.500	0.51	4.18	23.49	30.42	8.28	0.60	4.37	0.90	0.75	15.36	0.90	1.51	1.96	6.48	3.31	0.15	1.51	0	0.00	0	0	0.00	0	0	0	3.46	1.66	4.37	664
0.510	0.52	4.29	23.93	29.16	8.04	0.37	3.93	0.93	0.75	15.89	0.19	3.36	2.62	4.86	4.30	0.19	1.50	0	0.00	0	0	0.00	0	0	0	5.98	1.68	6.17	535
0.520	0.53	4.31	24.42	31.80	7.37	0.77	3.07	0.61	0.92	16.74	0.46	1.69	1.69	7.07	1.38	0.31	1.69	0	0.00	0	0	0.00	0	0	0	3.38	1.54	3.84	651
0.530	0.54	4.33	29.11	30.59	4.64	0.84	3.38	0.21	1.05	15.40	0.42	1.05	2.95	5.70	2.32	0.00	2.11	0	0.00	0	0	0.21	0	0	0	4.01	1.27	4.43	474
0.540	0.55	4.35	27.94	32.47	6.99	0.26	3.49	0.91	0.39	16.17	0.65	1.42	1.55	3.88	1.03	0.39	2.46	0	0.00	0	0	0.00	0	0	0	2.98	1.29	3.62	773
0.550	0.56	4.37	30.52	27.11	5.82	0.40	3.41	0.40	0.80	16.27	1.00	3.21	2.21	5.62	2.41	0.20	0.60	0	0.00	0	0	0.00	0	0	0	5.42	1.20	6.43	498
0.560	0.57	4.39	33.65	26.32	4.94	0.32	3.99	0.16	0.80	16.27	0.48	1.91	2.07	4.78	3.19	0.16	0.96	0	0.00	0	0	0.00	0	0	0	3.99	0.96	4.47	627
0.570	0.58	4.41	31.55	26.57	7.56	0.37	4.43	0.37	0.55	16.97	0.18	1.48	1.85	4.43	3.14	0.00	0.55	0	0.00	0	0	0.00	0	0	0	3.32	0.92	3.51	542
0.580	0.59	4.49	28.55	27.25	5.22	0.52	8.60	0.78	0.52	14.21	0.39	2.09	1.69	5.87	2.74	0.13	1.43	0	0.00	0	0	0.00	0	0	0	3.78	1.30	4.17	767
0.590	0.60	4.58	35.37	21.60	7.32	0.17	8.01	0.17	0.35	15.51	0.70	2.26	1.57	3.83	2.61	0.00	0.52	0	0.00	0	0	0.00	0	0	0	3.83	0.52	4.53	574
0.600	0.61	4.66	31.67	20.83	6.39	0.00	10.28	0.28	0.14	17.08	0.28	2.22	1.67	5.28	3.06	0.56	0.28	0	0.00	0	0	0.00	0	0	0	3.89	0.42	4.17	720
0.610	0.62	4.75	33.75	23.22	5.88	0.15	8.98	0.15	0.15	17.65	0.31	1.08	1.86	3.25	2.01	0.77	0.77	0	0.00	0	0	0.00	0	0	0	2.94	0.31	3.25	646
0.620	0.63	4.83	30.56	29.50	6.51	0.45	8.47	0.00	0.45	13.62	1.06	1.51	1.66	2.57	2.57	0.15	0.91	0	0.00	0	0	0.00	0	0	0	3.18	0.45	4.24	661
0.630	0.64	4.92	30.11	26.24	7.53	0.65	6.45	0.43	0.00	15.48	0.43	2.37	0.86	5.38	2.80	0.43	0.86	0	0.00	0	0	0.00	0	0	0	3.23	0.43	3.66	465
0.640	0.65	5.00	25.07	29.54	5.01	0.54	7.45	0.54	0.54	20.60	0.27	1.63	1.36	4.34	1.63	0.27	1.08	0	0.00	0	0	0.14	0	0	0	2.98	1.08	3.25	738
0.650	0.66	5.09	24.70	30.52	7.23	0.60	7.23	0.20	0.00	18.88	0.00	1.81	0.80	3.82	1.61	1.00	1.61	0	0.00	0	0	0.00	0	0	0	2.61	0.20	2.61	498
0.660	0.67	5.17	24.13	27.13	6.31	1.42	8.36	0.00	0.47	19.72	0.47	1.26	0.79	5.99	2.84	0.32	0.63	0	0.00	0	0	0.16	0	0	0	2.05	0.47	2.52	634
0.670	0.68	5.26	23.23	23.76	6.74	0.35	9.22	0.18	1.42	21.45	1.24	1.77	1.24	2.84	4.43	0.18	1.77	0	0.00	0	0	0.18	0	0	0	3.01	1.60	4.26	564
0.680	0.69	5.34	22.24	33.43	7.46	0.30	8.66	0.30	0.60	13.58	0.60	1.49	1.04	4.18	1.94	1.04	3.13	0	0.00	0	0	0.00	0	0	0	2.54	0.90	3.13	670
0.690	0.70	5.43	25.21	30.72	7.42	0.21	9.11	0.21	0.42	14.41	0.42	0.64	0.64	4.24	2.33	0.42	3.60	0	0.00	0	0	0.00	0	0	0	1.27	0.64	1.69	472
0.700	0.71	5.53	25.64	26.60	7.69	1.12	10.58	0.16	0.48	16.03	0.96	1.44	1.12	3.69	2.56	0.64	1.28	0	0.00	0	0	0.00	0	0	0	2.56	0.64	3.53	624
0.710	0.72	5.63	23.73	29.23	7.96	0.29	9.84	0.58	0.58	14.04	0.58	0.58	1.88	5.35	2.46	1.16	1.74	0	0.00	0	0	0.00	0	0	0	2.46	1.16	3.04	691
0.720	0.73	5.68	25.05	25.97	6.86	0.93	10.58	0.19	0.37	17.44	0.37	1.30	2.04	4.82	2.23	0.74	1.11	0	0.00	0	0	0.00	0	0	0	3.34	0.56	3.71	539
0.730	0.74	5.66	23.30	23.86	4.92	0.57	10.23	0.19	0.57	20.45	1.14	0.57	1.52	7.39	3.41	0.38	0.95	0	0.00	0	0	0.57	0	0	0	2.08	0.76	3.22	528
0.740	0.75	5.64	23.45	24.94	7.07	1.12	9.93	0.00	0.50	17.62	0.50	0.74	1.99	7.20	2.85	0.74	1.24	0	0.00	0	0	0.12	0	0	0	2.73	0.50	3.23	806
