/* DATA DESCRIPTION:
Citation:	Howard, William R; Prell, Warren L (1992): Planktic foraminifera assemblage of sediment core ELT45.029-PC. PANGAEA, https://doi.org/10.1594/PANGAEA.51613, 
	In supplement to: Howard, WR; Prell, WL (1992): Late Quaternary surface circulation of the southern Indian Ocean and its relationship to orbital variations. Paleoceanography, 7(1), 79-118, https://doi.org/10.1029/91PA02994
Coverage:	LATITUDE: -44.877000 * LONGITUDE: 106.518000
	DATE/TIME START: 1970-01-01T00:00:00 * DATE/TIME END: 1970-01-01T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 10.69 m
Event(s):	ELT45.029-PC * LATITUDE: -44.877000 * LONGITUDE: 106.518000 * DATE/TIME: 1970-01-01T00:00:00 * ELEVATION: -3867.0 m * Recovery: 11.74 m * CAMPAIGN: ELT45 (URI: http://ezid.cdlib.org/id/doi:10.7284/905169) * BASIS: Eltanin * METHOD/DEVICE: Piston corer (PC)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Calcium carbonate [%] (CaCO3) * PI: Howard, William R (will.howard@utas.edu.au)
	Size fraction > 0.063 mm, sand [%] (>63 µm) * PI: Howard, William R (will.howard@utas.edu.au)
	Foraminifera, planktic [#] (Foram plankt) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Foraminifera, planktic [%] (Foram plankt) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Foraminifera, benthic [#] (Foram benth) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Foraminifera, benthic [%] (Foram benth) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Radiolarians [#] (Rad) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Radiolarians [%] (Rad) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Fragmentation index [#] (F index) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Foraminifera, planktic [#/g] (Foram plankt) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinella aequilateralis [%] (G. aequilateralis) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina bulloides [%] (G. bulloides) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina calida [%] (G. calida) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia crassaformis [%] (G. crassaformis) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globoquadrina dutertrei [%] (G. dutertrei) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina falconensis [%] (G. falconensis) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita glutinata [%] (G. glutinata) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia hirsuta [%] (G. hirsuta) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinita humilis [%] (G. humilis) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia inflata [%] (G. inflata) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerina quinqueloba [%] (G. quinqueloba) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides ruber white [%] (G. ruber w) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globigerinoides sacculifer [%] (G. sacculifer) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia scitula [%] (G. scitula) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia truncatulinoides sinistral [%] (G. truncatulinoides s) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Globorotalia truncatulinoides dextral [%] (G. truncatulinoides d) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma sinistral [%] (N. pachyderma s) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma dextral [%] (N. pachyderma d) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Orbulina universa [%] (O. universa) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
	Neogloboquadrina pachyderma dextral and dutertrei integrade [%] (P/D int) * PI: Howard, William R (will.howard@utas.edu.au) * METHOD/DEVICE: Counting >150 µm fraction
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	2876 data points
*/
Depth sed [m]	CaCO3 [%]	>63 µm [%]	Foram plankt [#]	Foram plankt [%]	Foram benth [#]	Foram benth [%]	Rad [#]	Rad [%]	F index [#]	Foram plankt [#/g]	G. aequilateralis [%]	G. bulloides [%]	G. calida [%]	G. crassaformis [%]	G. dutertrei [%]	G. falconensis [%]	G. glutinata [%]	G. hirsuta [%]	G. humilis [%]	G. inflata [%]	G. quinqueloba [%]	G. ruber w [%]	G. sacculifer [%]	G. scitula [%]	G. truncatulinoides s [%]	G. truncatulinoides d [%]	N. pachyderma s [%]	N. pachyderma d [%]	O. universa [%]	P/D int [%]
0.02	92.3	9.1	537	76.9	3	0.6	27	4.8	161	19377	0.0	30.8	0.0	0.4	0.0	5.7	5.7	0.0	0.0	19.7	1.9	0.0	0.0	0.0	8.1	0.2	7.0	14.2	3.8	2.7
0.09	93.0	9.7	675	84.5	3	0.4	28	4.0	124	12202	0.0	35.7	0.0	0.0	0.0	0.3	7.9	0.2	0.5	19.9	3.0	0.0	0.0	0.6	7.4	0.3	7.4	13.6	1.8	1.5
0.19	93.1	15.1	497	92.0	3	0.6	11	2.2	43	18807	0.0	37.6	0.0	0.0	0.0	0.0	7.4	0.0	0.0	17.5	3.6	0.4	0.0	0.2	7.9	0.4	4.6	14.1	4.2	2.0
0.29	62.0	14.7	246	70.7	1	0.4	13	5.0	102	10481	0.0	50.6	0.0	0.0	0.0	4.5	1.7	0.0	0.0	11.1	4.1	0.0	0.0	0.0	5.4	0.8	13.6	4.5	0.8	2.9
0.39	39.6	7.2	224	45.2	7	3.0	97	30.2	272	3160	0.0	45.7	0.0	0.0	0.0	0.5	1.4	0.0	0.0	16.7	1.4	0.0	0.0	0.0	2.3	0.0	27.6	4.5	0.0	0.0
0.49	42.3	7.7	228	50.7	9	3.8	41	15.2	222	3587	0.0	49.3	0.0	0.0	0.0	0.0	1.4	0.0	0.0	13.9	0.0	0.0	0.0	0.0	1.8	0.5	30.9	1.8	0.0	0.5
0.59	67.0	25.1	406	78.1	4	1.0	10	2.4	114	18583	0.0	55.9	0.0	0.0	0.0	0.3	1.0	0.0	0.0	6.4	0.3	0.0	0.0	0.0	2.0	0.0	32.5	1.7	0.0	0.0
0.69	81.9	30.0	478	83.4	1	0.2	15	3.0	95	20448	0.0	55.2	0.0	0.0	0.0	0.9	4.7	0.0	0.0	7.9	1.3	0.0	0.0	0.0	2.3	0.0	24.0	3.8	0.0	0.0
0.79	83.4	30.2	243	81.0	1	0.4	14	5.5	57	19049	0.0	44.6	0.0	0.0	0.0	2.1	3.8	0.0	0.0	8.8	3.3	0.0	0.0	0.0	3.8	0.0	31.3	1.7	0.0	0.8
0.89	86.4	28.9	274	87.5	2	0.7	20	6.8	39	21785	0.0	55.4	0.0	0.0	0.0	0.0	4.5	0.0	0.0	10.5	3.4	0.0	0.0	0.0	2.3	0.0	21.4	2.6	0.0	0.0
0.99	88.2	28.0	632	90.0	2	0.3	16	2.5	70	23303	0.0	40.4	0.0	0.0	0.0	0.6	3.3	0.0	0.0	10.0	6.8	0.0	0.0	0.0	3.2	0.0	30.8	4.5	0.0	0.3
1.09	84.7	23.1	541	93.3	1	0.2	15	2.7	39	20087	0.0	44.4	0.0	0.0	0.0	1.9	5.0	0.0	0.0	9.4	5.6	0.0	0.0	0.2	3.3	0.2	22.6	6.5	0.4	0.7
1.19	87.9	23.8	254	91.0	1	0.4	7	2.7	25	21438	0.0	46.0	0.0	0.0	0.0	1.6	3.2	0.0	0.0	11.1	6.4	0.0	0.0	0.0	2.8	0.0	22.2	6.8	0.0	0.0
1.29	66.8	13.6	198	74.4	4	2.0	15	7.0	68	10834	0.0	54.1	0.0	0.0	0.0	1.6	3.1	0.0	0.0	11.3	5.7	0.0	0.0	0.0	1.6	0.0	18.0	4.1	0.0	0.5
1.39	59.3	7.5	260	66.0	5	1.9	38	12.8	134	6155	0.0	49.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	7.8	2.8	0.0	0.0	0.0	2.8	0.4	32.9	3.5	0.0	0.0
1.49	62.5	9.8	209	63.5	5	2.3	38	15.4	120	5504	0.0	50.0	0.0	0.0	0.0	1.5	4.9	0.0	0.0	3.9	5.9	0.0	0.0	0.0	1.0	0.0	29.4	3.4	0.0	0.0
1.59	84.4	12.7	244	74.2	3	1.2	14	5.4	85	11152	0.0	53.8	0.0	0.0	0.0	1.3	1.7	0.0	0.0	11.3	23.3	0.0	0.0	0.0	1.3	0.0	7.5	0.0	0.0	0.0
1.69	93.4	18.7	461	86.5	1	0.2	3	0.7	72	16882	0.0	48.4	0.0	0.0	0.0	0.7	4.8	0.2	0.0	10.7	4.8	0.0	0.0	0.0	2.4	0.0	21.2	6.8	0.0	0.0
1.79	95.2	15.7	261	81.6	1	0.4	13	4.7	59	16619	0.0	51.0	0.0	0.0	0.0	3.2	6.9	0.0	0.0	9.3	4.1	0.0	0.0	0.0	2.8	0.0	14.6	8.1	0.0	0.0
1.89	90.2	19.5	254	73.4	2	0.8	6	2.3	92	17395	0.0	54.8	0.0	0.0	0.0	1.6	4.0	0.0	0.0	8.8	0.0	0.0	0.0	0.0	0.8	0.0	20.8	8.4	0.0	0.8
1.99	93.2	17.2	234	82.7	4	1.7	11	4.5	49	14808	0.0	50.0	0.0	0.0	0.0	0.0	5.2	0.0	0.0	12.9	2.6	0.0	0.0	0.0	2.2	0.0	20.7	6.5	0.0	0.0
2.09	93.7	16.2	269	84.9	1	0.4	17	5.9	48	18551	0.0	41.6	0.0	0.0	0.0	2.3	9.0	0.0	0.0	13.5	3.4	0.0	0.0	0.0	2.6	0.0	15.7	11.6	0.4	0.0
2.19	91.4	13.9	358	85.9	5	1.4	9	2.5	59	12592	0.0	41.6	0.0	0.0	0.0	1.4	8.3	0.3	0.0	12.0	4.0	0.0	0.0	0.0	2.9	0.0	17.2	10.3	0.3	1.7
2.29	90.1	15.1	349	82.1	3	0.9	5	1.4	76	13041	0.0	52.3	0.0	0.0	0.0	0.9	2.9	0.0	0.0	11.4	1.5	0.0	0.0	0.0	2.3	0.0	16.4	12.0	0.3	0.0
2.39	90.3	13.1	326	79.5	0	0.0	11	3.3	84	12203	0.0	51.1	0.0	0.0	0.0	0.6	1.6	0.0	0.0	11.1	1.6	0.0	0.0	0.0	1.9	0.0	19.4	8.9	1.0	2.9
