Event,Latitude,Longitude,Depth [m],Symbiosis,Spine,Absolute Abundance
GeoB1722-1,-29.45,11.75,0.28,symbiont-bearing,non-spinose,0
GeoB1722-1,-29.45,11.75,0.28,symbiont-bearing,spinose,3
GeoB1722-1,-29.45,11.75,0.28,symbiont-facultative,non-spinose,96
GeoB1722-1,-29.45,11.75,0.28,symbiont-facultative,spinose,0
GeoB1722-1,-29.45,11.75,0.28,symbiont-obligate,spinose,43
GeoB1722-1,-29.45,11.75,0.28,undetermined,non-spinose,1
GeoB1903-3,-8.675,-11.845,0.48,symbiont-barren,non-spinose,191
GeoB1903-3,-8.675,-11.845,0.48,symbiont-barren,spinose,28
GeoB1903-3,-8.675,-11.845,0.48,symbiont-bearing,non-spinose,0
GeoB1903-3,-8.675,-11.845,0.48,symbiont-bearing,spinose,27
GeoB1903-3,-8.675,-11.845,0.48,symbiont-facultative,non-spinose,218
GeoB1903-3,-8.675,-11.845,0.48,symbiont-facultative,spinose,1
GeoB1903-3,-8.675,-11.845,0.48,symbiont-obligate,spinose,700
GeoB1903-3,-8.675,-11.845,0.48,undetermined,non-spinose,25
GeoB1903-3,-8.675,-11.845,0.53,symbiont-barren,non-spinose,407
GeoB1903-3,-8.675,-11.845,0.53,symbiont-barren,spinose,41
GeoB1903-3,-8.675,-11.845,0.53,symbiont-bearing,non-spinose,0
GeoB1903-3,-8.675,-11.845,0.53,symbiont-bearing,spinose,17
GeoB1903-3,-8.675,-11.845,0.53,symbiont-facultative,non-spinose,243
GeoB1903-3,-8.675,-11.845,0.53,symbiont-facultative,spinose,1
GeoB1903-3,-8.675,-11.845,0.53,symbiont-obligate,spinose,1104
GeoB1903-3,-8.675,-11.845,0.53,undetermined,non-spinose,33
GeoB1903-3,-8.675,-11.845,0.58,symbiont-barren,non-spinose,529
GeoB1903-3,-8.675,-11.845,0.58,symbiont-barren,spinose,51
GeoB1903-3,-8.675,-11.845,0.58,symbiont-bearing,non-spinose,0
GeoB1903-3,-8.675,-11.845,0.58,symbiont-bearing,spinose,72
GeoB1903-3,-8.675,-11.845,0.58,symbiont-facultative,non-spinose,262
GeoB1903-3,-8.675,-11.845,0.58,symbiont-facultative,spinose,1
GeoB1903-3,-8.675,-11.845,0.58,symbiont-obligate,spinose,2037
GeoB1903-3,-8.675,-11.845,0.58,undetermined,non-spinose,33
GeoB1905-3,-17.1433,-13.9867,0.38,symbiont-barren,non-spinose,386
GeoB1905-3,-17.1433,-13.9867,0.38,symbiont-barren,spinose,77
GeoB1905-3,-17.1433,-13.9867,0.38,symbiont-bearing,non-spinose,0
GeoB1905-3,-17.1433,-13.9867,0.38,symbiont-bearing,spinose,76
GeoB1905-3,-17.1433,-13.9867,0.38,symbiont-facultative,non-spinose,202
GeoB1905-3,-17.1433,-13.9867,0.38,symbiont-facultative,spinose,1
GeoB1905-3,-17.1433,-13.9867,0.38,symbiont-obligate,spinose,744
GeoB1905-3,-17.1433,-13.9867,0.38,undetermined,non-spinose,26
GeoB1905-3,-17.1433,-13.9867,0.43,symbiont-barren,non-spinose,535
GeoB1905-3,-17.1433,-13.9867,0.43,symbiont-barren,spinose,41
GeoB1905-3,-17.1433,-13.9867,0.43,symbiont-bearing,non-spinose,0
GeoB1905-3,-17.1433,-13.9867,0.43,symbiont-bearing,spinose,151
GeoB1905-3,-17.1433,-13.9867,0.43,symbiont-facultative,non-spinose,139
GeoB1905-3,-17.1433,-13.9867,0.43,symbiont-facultative,spinose,3
GeoB1905-3,-17.1433,-13.9867,0.43,symbiont-obligate,spinose,1676
GeoB1905-3,-17.1433,-13.9867,0.43,undetermined,non-spinose,27
GeoB2004-2,-30.87,14.3433,0.68,symbiont-barren,non-spinose,667
GeoB2004-2,-30.87,14.3433,0.68,symbiont-barren,spinose,107
GeoB2004-2,-30.87,14.3433,0.68,symbiont-bearing,non-spinose,0
GeoB2004-2,-30.87,14.3433,0.68,symbiont-bearing,spinose,1
GeoB2004-2,-30.87,14.3433,0.68,symbiont-facultative,non-spinose,131
GeoB2004-2,-30.87,14.3433,0.68,symbiont-facultative,spinose,3
GeoB2004-2,-30.87,14.3433,0.68,symbiont-obligate,spinose,109
GeoB2004-2,-30.87,14.3433,0.68,undetermined,non-spinose,17
GeoB2004-2,-30.87,14.3433,0.73,symbiont-barren,non-spinose,531
GeoB2004-2,-30.87,14.3433,0.73,symbiont-barren,spinose,97
GeoB2004-2,-30.87,14.3433,0.73,symbiont-bearing,non-spinose,0
GeoB2004-2,-30.87,14.3433,0.73,symbiont-bearing,spinose,4
GeoB2004-2,-30.87,14.3433,0.73,symbiont-facultative,non-spinose,95
GeoB2004-2,-30.87,14.3433,0.73,symbiont-facultative,spinose,0
GeoB2004-2,-30.87,14.3433,0.73,symbiont-obligate,spinose,35
GeoB2004-2,-30.87,14.3433,0.73,undetermined,non-spinose,10
GeoB2004-2,-30.87,14.3433,0.78,symbiont-barren,non-spinose,822
GeoB2004-2,-30.87,14.3433,0.78,symbiont-barren,spinose,120
GeoB2004-2,-30.87,14.3433,0.78,symbiont-bearing,non-spinose,0
GeoB2004-2,-30.87,14.3433,0.78,symbiont-bearing,spinose,10
GeoB2004-2,-30.87,14.3433,0.78,symbiont-facultative,non-spinose,102
GeoB2004-2,-30.87,14.3433,0.78,symbiont-facultative,spinose,1
GeoB2004-2,-30.87,14.3433,0.78,symbiont-obligate,spinose,60
GeoB2004-2,-30.87,14.3433,0.78,undetermined,non-spinose,3
GeoB2016-1,-31.9,-1.33,0.18,symbiont-barren,non-spinose,603
GeoB2016-1,-31.9,-1.33,0.18,symbiont-barren,spinose,227
GeoB2016-1,-31.9,-1.33,0.18,symbiont-bearing,non-spinose,0
GeoB2016-1,-31.9,-1.33,0.18,symbiont-bearing,spinose,7
GeoB2016-1,-31.9,-1.33,0.18,symbiont-facultative,non-spinose,124
GeoB2016-1,-31.9,-1.33,0.18,symbiont-facultative,spinose,0
GeoB2016-1,-31.9,-1.33,0.18,symbiont-obligate,spinose,71
GeoB2016-1,-31.9,-1.33,0.18,undetermined,non-spinose,15
GeoB2019-1,-36.06,-8.7783,0.33,symbiont-barren,non-spinose,464
GeoB2019-1,-36.06,-8.7783,0.33,symbiont-barren,spinose,269
GeoB2019-1,-36.06,-8.7783,0.33,symbiont-bearing,non-spinose,0
GeoB2019-1,-36.06,-8.7783,0.33,symbiont-bearing,spinose,2
GeoB2019-1,-36.06,-8.7783,0.33,symbiont-facultative,non-spinose,147
GeoB2019-1,-36.06,-8.7783,0.33,symbiont-facultative,spinose,0
GeoB2019-1,-36.06,-8.7783,0.33,symbiont-obligate,spinose,11
GeoB2019-1,-36.06,-8.7783,0.33,undetermined,non-spinose,2
GeoB2021-5,-36.8333,-14.4033,0.13,symbiont-barren,non-spinose,469
GeoB2021-5,-36.8333,-14.4033,0.13,symbiont-barren,spinose,230
GeoB2021-5,-36.8333,-14.4033,0.13,symbiont-bearing,non-spinose,0
GeoB2021-5,-36.8333,-14.4033,0.13,symbiont-bearing,spinose,0
GeoB2021-5,-36.8333,-14.4033,0.13,symbiont-facultative,non-spinose,175
GeoB2021-5,-36.8333,-14.4033,0.13,symbiont-facultative,spinose,0
GeoB2021-5,-36.8333,-14.4033,0.13,symbiont-obligate,spinose,8
GeoB2021-5,-36.8333,-14.4033,0.13,undetermined,non-spinose,0
GeoB2109-1,-27.9117,-45.8817,0.48,symbiont-barren,non-spinose,154
GeoB2109-1,-27.9117,-45.8817,0.48,symbiont-barren,spinose,16
GeoB2109-1,-27.9117,-45.8817,0.48,symbiont-bearing,non-spinose,0
GeoB2109-1,-27.9117,-45.8817,0.48,symbiont-bearing,spinose,18
GeoB2109-1,-27.9117,-45.8817,0.48,symbiont-facultative,non-spinose,125
GeoB2109-1,-27.9117,-45.8817,0.48,symbiont-facultative,spinose,0
GeoB2109-1,-27.9117,-45.8817,0.48,symbiont-obligate,spinose,244
GeoB2109-1,-27.9117,-45.8817,0.48,undetermined,non-spinose,8
GeoB2109-1,-27.9117,-45.8817,0.53,symbiont-barren,non-spinose,138
GeoB2109-1,-27.9117,-45.8817,0.53,symbiont-barren,spinose,23
GeoB2109-1,-27.9117,-45.8817,0.53,symbiont-bearing,non-spinose,0
GeoB2109-1,-27.9117,-45.8817,0.53,symbiont-bearing,spinose,20
GeoB2109-1,-27.9117,-45.8817,0.53,symbiont-facultative,non-spinose,91
GeoB2109-1,-27.9117,-45.8817,0.53,symbiont-facultative,spinose,0
GeoB2109-1,-27.9117,-45.8817,0.53,symbiont-obligate,spinose,192
GeoB2109-1,-27.9117,-45.8817,0.53,undetermined,non-spinose,6
GeoB2109-1,-27.9117,-45.8817,0.58,symbiont-barren,non-spinose,288
GeoB2109-1,-27.9117,-45.8817,0.58,symbiont-barren,spinose,25
GeoB2109-1,-27.9117,-45.8817,0.58,symbiont-bearing,non-spinose,0
GeoB2109-1,-27.9117,-45.8817,0.58,symbiont-bearing,spinose,28
GeoB2109-1,-27.9117,-45.8817,0.58,symbiont-facultative,non-spinose,189
GeoB2109-1,-27.9117,-45.8817,0.58,symbiont-facultative,spinose,0
GeoB2109-1,-27.9117,-45.8817,0.58,symbiont-obligate,spinose,260
GeoB2109-1,-27.9117,-45.8817,0.58,undetermined,non-spinose,6
GeoB2109-1,-27.9117,-45.8817,0.63,symbiont-barren,non-spinose,364
GeoB2109-1,-27.9117,-45.8817,0.63,symbiont-barren,spinose,23
GeoB2109-1,-27.9117,-45.8817,0.63,symbiont-bearing,non-spinose,0
GeoB2109-1,-27.9117,-45.8817,0.63,symbiont-bearing,spinose,58
GeoB2109-1,-27.9117,-45.8817,0.63,symbiont-facultative,non-spinose,153
GeoB2109-1,-27.9117,-45.8817,0.63,symbiont-facultative,spinose,0
GeoB2109-1,-27.9117,-45.8817,0.63,symbiont-obligate,spinose,324
GeoB2109-1,-27.9117,-45.8817,0.63,undetermined,non-spinose,4
GeoB2116-4,-25.5117,-35.9983,0.28,symbiont-barren,non-spinose,136
GeoB2116-4,-25.5117,-35.9983,0.28,symbiont-barren,spinose,8
GeoB2116-4,-25.5117,-35.9983,0.28,symbiont-bearing,non-spinose,0
GeoB2116-4,-25.5117,-35.9983,0.28,symbiont-bearing,spinose,0
GeoB2116-4,-25.5117,-35.9983,0.28,symbiont-facultative,non-spinose,43
GeoB2116-4,-25.5117,-35.9983,0.28,symbiont-facultative,spinose,0
GeoB2116-4,-25.5117,-35.9983,0.28,symbiont-obligate,spinose,93
GeoB2116-4,-25.5117,-35.9983,0.28,undetermined,non-spinose,0
GeoB2117-1,-23.0383,-36.6517,0.23,symbiont-barren,non-spinose,89
GeoB2117-1,-23.0383,-36.6517,0.23,symbiont-barren,spinose,42
GeoB2117-1,-23.0383,-36.6517,0.23,symbiont-bearing,non-spinose,0
GeoB2117-1,-23.0383,-36.6517,0.23,symbiont-bearing,spinose,11
GeoB2117-1,-23.0383,-36.6517,0.23,symbiont-facultative,non-spinose,39
GeoB2117-1,-23.0383,-36.6517,0.23,symbiont-facultative,spinose,0
GeoB2117-1,-23.0383,-36.6517,0.23,symbiont-obligate,spinose,443
GeoB2117-1,-23.0383,-36.6517,0.23,undetermined,non-spinose,2
GeoB2125-1,-20.8233,-39.8633,0.33,symbiont-barren,non-spinose,46
GeoB2125-1,-20.8233,-39.8633,0.33,symbiont-barren,spinose,12
GeoB2125-1,-20.8233,-39.8633,0.33,symbiont-bearing,non-spinose,0
GeoB2125-1,-20.8233,-39.8633,0.33,symbiont-bearing,spinose,29
GeoB2125-1,-20.8233,-39.8633,0.33,symbiont-facultative,non-spinose,197
GeoB2125-1,-20.8233,-39.8633,0.33,symbiont-facultative,spinose,0
GeoB2125-1,-20.8233,-39.8633,0.33,symbiont-obligate,spinose,447
GeoB2125-1,-20.8233,-39.8633,0.33,undetermined,non-spinose,7
GeoB2125-1,-20.8233,-39.8633,0.38,symbiont-barren,non-spinose,72
GeoB2125-1,-20.8233,-39.8633,0.38,symbiont-barren,spinose,10
GeoB2125-1,-20.8233,-39.8633,0.38,symbiont-bearing,non-spinose,0
GeoB2125-1,-20.8233,-39.8633,0.38,symbiont-bearing,spinose,36
GeoB2125-1,-20.8233,-39.8633,0.38,symbiont-facultative,non-spinose,236
GeoB2125-1,-20.8233,-39.8633,0.38,symbiont-facultative,spinose,4
GeoB2125-1,-20.8233,-39.8633,0.38,symbiont-obligate,spinose,473
GeoB2125-1,-20.8233,-39.8633,0.38,undetermined,non-spinose,1
GeoB2202-4,-8.1983,-34.265,0.78,symbiont-barren,non-spinose,168
GeoB2202-4,-8.1983,-34.265,0.78,symbiont-barren,spinose,6
GeoB2202-4,-8.1983,-34.265,0.78,symbiont-bearing,non-spinose,0
GeoB2202-4,-8.1983,-34.265,0.78,symbiont-bearing,spinose,22
GeoB2202-4,-8.1983,-34.265,0.78,symbiont-facultative,non-spinose,124
GeoB2202-4,-8.1983,-34.265,0.78,symbiont-facultative,spinose,0
GeoB2202-4,-8.1983,-34.265,0.78,symbiont-obligate,spinose,995
GeoB2202-4,-8.1983,-34.265,0.78,undetermined,non-spinose,16
GeoB2202-4,-8.1983,-34.265,0.83,symbiont-barren,non-spinose,189
GeoB2202-4,-8.1983,-34.265,0.83,symbiont-barren,spinose,9
GeoB2202-4,-8.1983,-34.265,0.83,symbiont-bearing,non-spinose,0
GeoB2202-4,-8.1983,-34.265,0.83,symbiont-bearing,spinose,29
GeoB2202-4,-8.1983,-34.265,0.83,symbiont-facultative,non-spinose,135
GeoB2202-4,-8.1983,-34.265,0.83,symbiont-facultative,spinose,0
GeoB2202-4,-8.1983,-34.265,0.83,symbiont-obligate,spinose,1074
GeoB2202-4,-8.1983,-34.265,0.83,undetermined,non-spinose,18
GeoB2202-4,-8.1983,-34.265,0.88,symbiont-barren,non-spinose,93
GeoB2202-4,-8.1983,-34.265,0.88,symbiont-barren,spinose,15
GeoB2202-4,-8.1983,-34.265,0.88,symbiont-bearing,non-spinose,0
GeoB2202-4,-8.1983,-34.265,0.88,symbiont-bearing,spinose,49
GeoB2202-4,-8.1983,-34.265,0.88,symbiont-facultative,non-spinose,152
GeoB2202-4,-8.1983,-34.265,0.88,symbiont-facultative,spinose,0
GeoB2202-4,-8.1983,-34.265,0.88,symbiont-obligate,spinose,948
GeoB2202-4,-8.1983,-34.265,0.88,undetermined,non-spinose,4
GeoB2202-4,-8.1983,-34.265,0.93,symbiont-barren,non-spinose,45
GeoB2202-4,-8.1983,-34.265,0.93,symbiont-barren,spinose,5
GeoB2202-4,-8.1983,-34.265,0.93,symbiont-bearing,non-spinose,0
GeoB2202-4,-8.1983,-34.265,0.93,symbiont-bearing,spinose,48
GeoB2202-4,-8.1983,-34.265,0.93,symbiont-facultative,non-spinose,140
GeoB2202-4,-8.1983,-34.265,0.93,symbiont-facultative,spinose,0
GeoB2202-4,-8.1983,-34.265,0.93,symbiont-obligate,spinose,718
GeoB2202-4,-8.1983,-34.265,0.93,undetermined,non-spinose,11
GeoB2215-10,0.0067,-23.495,0.43,symbiont-barren,non-spinose,459
GeoB2215-10,0.0067,-23.495,0.43,symbiont-barren,spinose,72
GeoB2215-10,0.0067,-23.495,0.43,symbiont-bearing,non-spinose,0
GeoB2215-10,0.0067,-23.495,0.43,symbiont-bearing,spinose,12
GeoB2215-10,0.0067,-23.495,0.43,symbiont-facultative,non-spinose,202
GeoB2215-10,0.0067,-23.495,0.43,symbiont-facultative,spinose,0
GeoB2215-10,0.0067,-23.495,0.43,symbiont-obligate,spinose,750
GeoB2215-10,0.0067,-23.495,0.43,undetermined,non-spinose,15
GeoB2215-10,0.0067,-23.495,0.48,symbiont-barren,non-spinose,353
GeoB2215-10,0.0067,-23.495,0.48,symbiont-barren,spinose,16
GeoB2215-10,0.0067,-23.495,0.48,symbiont-bearing,non-spinose,0
GeoB2215-10,0.0067,-23.495,0.48,symbiont-bearing,spinose,1
GeoB2215-10,0.0067,-23.495,0.48,symbiont-facultative,non-spinose,159
GeoB2215-10,0.0067,-23.495,0.48,symbiont-facultative,spinose,0
GeoB2215-10,0.0067,-23.495,0.48,symbiont-obligate,spinose,246
GeoB2215-10,0.0067,-23.495,0.48,undetermined,non-spinose,2
GeoB2819-1,-30.8483,-38.3433,0.13,symbiont-barren,non-spinose,841
GeoB2819-1,-30.8483,-38.3433,0.13,symbiont-barren,spinose,109
GeoB2819-1,-30.8483,-38.3433,0.13,symbiont-bearing,non-spinose,0
GeoB2819-1,-30.8483,-38.3433,0.13,symbiont-bearing,spinose,21
GeoB2819-1,-30.8483,-38.3433,0.13,symbiont-facultative,non-spinose,138
GeoB2819-1,-30.8483,-38.3433,0.13,symbiont-facultative,spinose,0
GeoB2819-1,-30.8483,-38.3433,0.13,symbiont-obligate,spinose,306
GeoB2819-1,-30.8483,-38.3433,0.13,undetermined,non-spinose,8
GeoB3104-1,-3.6667,-37.7167,1.73,symbiont-barren,non-spinose,148
GeoB3104-1,-3.6667,-37.7167,1.73,symbiont-barren,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.73,symbiont-bearing,non-spinose,0
GeoB3104-1,-3.6667,-37.7167,1.73,symbiont-bearing,spinose,11
GeoB3104-1,-3.6667,-37.7167,1.73,symbiont-facultative,non-spinose,217
GeoB3104-1,-3.6667,-37.7167,1.73,symbiont-facultative,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.73,symbiont-obligate,spinose,1043
GeoB3104-1,-3.6667,-37.7167,1.73,undetermined,non-spinose,9
GeoB3104-1,-3.6667,-37.7167,1.78,symbiont-barren,non-spinose,172
GeoB3104-1,-3.6667,-37.7167,1.78,symbiont-barren,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.78,symbiont-bearing,non-spinose,0
GeoB3104-1,-3.6667,-37.7167,1.78,symbiont-bearing,spinose,9
GeoB3104-1,-3.6667,-37.7167,1.78,symbiont-facultative,non-spinose,212
GeoB3104-1,-3.6667,-37.7167,1.78,symbiont-facultative,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.78,symbiont-obligate,spinose,769
GeoB3104-1,-3.6667,-37.7167,1.78,undetermined,non-spinose,7
GeoB3104-1,-3.6667,-37.7167,1.83,symbiont-barren,non-spinose,103
GeoB3104-1,-3.6667,-37.7167,1.83,symbiont-barren,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.83,symbiont-bearing,non-spinose,0
GeoB3104-1,-3.6667,-37.7167,1.83,symbiont-bearing,spinose,9
GeoB3104-1,-3.6667,-37.7167,1.83,symbiont-facultative,non-spinose,157
GeoB3104-1,-3.6667,-37.7167,1.83,symbiont-facultative,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.83,symbiont-obligate,spinose,592
GeoB3104-1,-3.6667,-37.7167,1.83,undetermined,non-spinose,12
GeoB3104-1,-3.6667,-37.7167,1.88,symbiont-barren,non-spinose,112
GeoB3104-1,-3.6667,-37.7167,1.88,symbiont-barren,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.88,symbiont-bearing,non-spinose,0
GeoB3104-1,-3.6667,-37.7167,1.88,symbiont-bearing,spinose,22
GeoB3104-1,-3.6667,-37.7167,1.88,symbiont-facultative,non-spinose,173
GeoB3104-1,-3.6667,-37.7167,1.88,symbiont-facultative,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.88,symbiont-obligate,spinose,668
GeoB3104-1,-3.6667,-37.7167,1.88,undetermined,non-spinose,21
GeoB3104-1,-3.6667,-37.7167,1.98,symbiont-barren,non-spinose,90
GeoB3104-1,-3.6667,-37.7167,1.98,symbiont-barren,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.98,symbiont-bearing,non-spinose,0
GeoB3104-1,-3.6667,-37.7167,1.98,symbiont-bearing,spinose,18
GeoB3104-1,-3.6667,-37.7167,1.98,symbiont-facultative,non-spinose,109
GeoB3104-1,-3.6667,-37.7167,1.98,symbiont-facultative,spinose,0
GeoB3104-1,-3.6667,-37.7167,1.98,symbiont-obligate,spinose,430
GeoB3104-1,-3.6667,-37.7167,1.98,undetermined,non-spinose,10
GeoB3117-1,-4.295,-37.0917,2.98,symbiont-barren,non-spinose,169
GeoB3117-1,-4.295,-37.0917,2.98,symbiont-barren,spinose,0
GeoB3117-1,-4.295,-37.0917,2.98,symbiont-bearing,non-spinose,0
GeoB3117-1,-4.295,-37.0917,2.98,symbiont-bearing,spinose,30
GeoB3117-1,-4.295,-37.0917,2.98,symbiont-facultative,non-spinose,176
GeoB3117-1,-4.295,-37.0917,2.98,symbiont-facultative,spinose,0
GeoB3117-1,-4.295,-37.0917,2.98,symbiont-obligate,spinose,726
GeoB3117-1,-4.295,-37.0917,2.98,undetermined,non-spinose,4
GeoB3117-1,-4.295,-37.0917,3.03,symbiont-barren,non-spinose,106
GeoB3117-1,-4.295,-37.0917,3.03,symbiont-barren,spinose,0
GeoB3117-1,-4.295,-37.0917,3.03,symbiont-bearing,non-spinose,0
GeoB3117-1,-4.295,-37.0917,3.03,symbiont-bearing,spinose,21
GeoB3117-1,-4.295,-37.0917,3.03,symbiont-facultative,non-spinose,137
GeoB3117-1,-4.295,-37.0917,3.03,symbiont-facultative,spinose,0
GeoB3117-1,-4.295,-37.0917,3.03,symbiont-obligate,spinose,492
GeoB3117-1,-4.295,-37.0917,3.03,undetermined,non-spinose,3
GeoB3117-1,-4.295,-37.0917,3.13,symbiont-barren,non-spinose,104
GeoB3117-1,-4.295,-37.0917,3.13,symbiont-barren,spinose,0
GeoB3117-1,-4.295,-37.0917,3.13,symbiont-bearing,non-spinose,0
GeoB3117-1,-4.295,-37.0917,3.13,symbiont-bearing,spinose,47
GeoB3117-1,-4.295,-37.0917,3.13,symbiont-facultative,non-spinose,121
GeoB3117-1,-4.295,-37.0917,3.13,symbiont-facultative,spinose,0
GeoB3117-1,-4.295,-37.0917,3.13,symbiont-obligate,spinose,472
GeoB3117-1,-4.295,-37.0917,3.13,undetermined,non-spinose,6
GeoB3117-1,-4.295,-37.0917,3.23,symbiont-barren,non-spinose,74
GeoB3117-1,-4.295,-37.0917,3.23,symbiont-barren,spinose,0
GeoB3117-1,-4.295,-37.0917,3.23,symbiont-bearing,non-spinose,0
GeoB3117-1,-4.295,-37.0917,3.23,symbiont-bearing,spinose,10
GeoB3117-1,-4.295,-37.0917,3.23,symbiont-facultative,non-spinose,129
GeoB3117-1,-4.295,-37.0917,3.23,symbiont-facultative,spinose,0
GeoB3117-1,-4.295,-37.0917,3.23,symbiont-obligate,spinose,413
GeoB3117-1,-4.295,-37.0917,3.23,undetermined,non-spinose,9
GeoB3117-1,-4.295,-37.0917,3.33,symbiont-barren,non-spinose,60
GeoB3117-1,-4.295,-37.0917,3.33,symbiont-barren,spinose,3
GeoB3117-1,-4.295,-37.0917,3.33,symbiont-bearing,non-spinose,0
GeoB3117-1,-4.295,-37.0917,3.33,symbiont-bearing,spinose,8
GeoB3117-1,-4.295,-37.0917,3.33,symbiont-facultative,non-spinose,93
GeoB3117-1,-4.295,-37.0917,3.33,symbiont-facultative,spinose,0
GeoB3117-1,-4.295,-37.0917,3.33,symbiont-obligate,spinose,372
GeoB3117-1,-4.295,-37.0917,3.33,undetermined,non-spinose,5
GeoB3117-1,-4.295,-37.0917,3.43,symbiont-barren,non-spinose,39
GeoB3117-1,-4.295,-37.0917,3.43,symbiont-barren,spinose,0
GeoB3117-1,-4.295,-37.0917,3.43,symbiont-bearing,non-spinose,0
GeoB3117-1,-4.295,-37.0917,3.43,symbiont-bearing,spinose,4
GeoB3117-1,-4.295,-37.0917,3.43,symbiont-facultative,non-spinose,89
GeoB3117-1,-4.295,-37.0917,3.43,symbiont-facultative,spinose,0
GeoB3117-1,-4.295,-37.0917,3.43,symbiont-obligate,spinose,527
GeoB3117-1,-4.295,-37.0917,3.43,undetermined,non-spinose,6
GeoB3117-1,-4.295,-37.0917,3.53,symbiont-barren,non-spinose,31
GeoB3117-1,-4.295,-37.0917,3.53,symbiont-barren,spinose,1
GeoB3117-1,-4.295,-37.0917,3.53,symbiont-bearing,non-spinose,0
GeoB3117-1,-4.295,-37.0917,3.53,symbiont-bearing,spinose,10
GeoB3117-1,-4.295,-37.0917,3.53,symbiont-facultative,non-spinose,103
GeoB3117-1,-4.295,-37.0917,3.53,symbiont-facultative,spinose,0
GeoB3117-1,-4.295,-37.0917,3.53,symbiont-obligate,spinose,756
GeoB3117-1,-4.295,-37.0917,3.53,undetermined,non-spinose,7
GeoB3175-1,-7.0533,-34.4633,1.68,symbiont-barren,non-spinose,116
GeoB3175-1,-7.0533,-34.4633,1.68,symbiont-barren,spinose,11
GeoB3175-1,-7.0533,-34.4633,1.68,symbiont-bearing,non-spinose,3
GeoB3175-1,-7.0533,-34.4633,1.68,symbiont-bearing,spinose,10
GeoB3175-1,-7.0533,-34.4633,1.68,symbiont-facultative,non-spinose,45
GeoB3175-1,-7.0533,-34.4633,1.68,symbiont-facultative,spinose,0
GeoB3175-1,-7.0533,-34.4633,1.68,symbiont-obligate,spinose,586
GeoB3175-1,-7.0533,-34.4633,1.68,undetermined,non-spinose,8
GeoB3175-1,-7.0533,-34.4633,1.73,symbiont-barren,non-spinose,68
GeoB3175-1,-7.0533,-34.4633,1.73,symbiont-barren,spinose,13
GeoB3175-1,-7.0533,-34.4633,1.73,symbiont-bearing,non-spinose,0
GeoB3175-1,-7.0533,-34.4633,1.73,symbiont-bearing,spinose,16
GeoB3175-1,-7.0533,-34.4633,1.73,symbiont-facultative,non-spinose,36
GeoB3175-1,-7.0533,-34.4633,1.73,symbiont-facultative,spinose,0
GeoB3175-1,-7.0533,-34.4633,1.73,symbiont-obligate,spinose,428
GeoB3175-1,-7.0533,-34.4633,1.73,undetermined,non-spinose,2
GeoB3175-1,-7.0533,-34.4633,1.78,symbiont-barren,non-spinose,60
GeoB3175-1,-7.0533,-34.4633,1.78,symbiont-barren,spinose,22
GeoB3175-1,-7.0533,-34.4633,1.78,symbiont-bearing,non-spinose,0
GeoB3175-1,-7.0533,-34.4633,1.78,symbiont-bearing,spinose,12
GeoB3175-1,-7.0533,-34.4633,1.78,symbiont-facultative,non-spinose,32
GeoB3175-1,-7.0533,-34.4633,1.78,symbiont-facultative,spinose,0
GeoB3175-1,-7.0533,-34.4633,1.78,symbiont-obligate,spinose,433
GeoB3175-1,-7.0533,-34.4633,1.78,undetermined,non-spinose,3
GeoB3175-1,-7.0533,-34.4633,1.83,symbiont-barren,non-spinose,136
GeoB3175-1,-7.0533,-34.4633,1.83,symbiont-barren,spinose,5
GeoB3175-1,-7.0533,-34.4633,1.83,symbiont-bearing,non-spinose,0
GeoB3175-1,-7.0533,-34.4633,1.83,symbiont-bearing,spinose,15
GeoB3175-1,-7.0533,-34.4633,1.83,symbiont-facultative,non-spinose,52
GeoB3175-1,-7.0533,-34.4633,1.83,symbiont-facultative,spinose,0
GeoB3175-1,-7.0533,-34.4633,1.83,symbiont-obligate,spinose,622
GeoB3175-1,-7.0533,-34.4633,1.83,undetermined,non-spinose,3
GeoB3176-1,-7.0117,-34.4417,3.43,symbiont-barren,non-spinose,53
GeoB3176-1,-7.0117,-34.4417,3.43,symbiont-barren,spinose,4
GeoB3176-1,-7.0117,-34.4417,3.43,symbiont-bearing,non-spinose,0
GeoB3176-1,-7.0117,-34.4417,3.43,symbiont-bearing,spinose,13
GeoB3176-1,-7.0117,-34.4417,3.43,symbiont-facultative,non-spinose,76
GeoB3176-1,-7.0117,-34.4417,3.43,symbiont-facultative,spinose,0
GeoB3176-1,-7.0117,-34.4417,3.43,symbiont-obligate,spinose,423
GeoB3176-1,-7.0117,-34.4417,3.43,undetermined,non-spinose,6
GeoB3176-1,-7.0117,-34.4417,3.48,symbiont-barren,non-spinose,101
GeoB3176-1,-7.0117,-34.4417,3.48,symbiont-barren,spinose,12
GeoB3176-1,-7.0117,-34.4417,3.48,symbiont-bearing,non-spinose,0
