Event,Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
A180-15,39.267,-36.7,0.6,O. universa,3
A180-15,39.267,-36.7,0.6,G. conglobatus,0
A180-15,39.267,-36.7,0.6,G. ruber ruber,2
A180-15,39.267,-36.7,0.6,G. ruber albus,66
A180-15,39.267,-36.7,0.6,G. tenellus,0
A180-15,39.267,-36.7,0.6,T. sacculifer,6
A180-15,39.267,-36.7,0.6,S. dehiscens,0
A180-15,39.267,-36.7,0.6,G. adamsi,0
A180-15,39.267,-36.7,0.6,G. siphonifera,2
A180-15,39.267,-36.7,0.6,G. calida,0
A180-15,39.267,-36.7,0.6,G. bulloides,49
A180-15,39.267,-36.7,0.6,G. falconensis,11
A180-15,39.267,-36.7,0.6,B. digitata,0
A180-15,39.267,-36.7,0.6,G. rubescens,0
A180-15,39.267,-36.7,0.6,T. humilis,4
A180-15,39.267,-36.7,0.6,T. quinqueloba,41
A180-15,39.267,-36.7,0.6,N. pachyderma,166
A180-15,39.267,-36.7,0.6,N. incompta,4
A180-15,39.267,-36.7,0.6,N. dutertrei,0
A180-15,39.267,-36.7,0.6,G. conglomerata,0
A180-15,39.267,-36.7,0.6,G. hexagonus,0
A180-15,39.267,-36.7,0.6,P. obliquiloculata,219
A180-15,39.267,-36.7,0.6,G. inflata,1
A180-15,39.267,-36.7,0.6,G. crassaformis,12
A180-15,39.267,-36.7,0.6,G. hirsuta,0
A180-15,39.267,-36.7,0.6,G. scitula,0
A180-15,39.267,-36.7,0.6,D. anfracta,0
A180-15,39.267,-36.7,0.6,G. cultrata,0
A180-15,39.267,-36.7,0.6,G. tumida,0
A180-15,39.267,-36.7,0.6,C. nitida,0
A180-15,39.267,-36.7,0.6,G. glutinata,0
A180-15,39.267,-36.7,0.6,T. iota,0
A180-15,39.267,-36.7,0.6,G. uvula,0
A180-15,39.267,-36.7,0.6,B. pumilio,0
A180-15,39.267,-36.7,0.6,H. pelagica,9
A180-15,39.267,-36.7,0.6,H. digitata,0
A180-15,39.267,-36.7,0.6,G. truncatulinoides,5
A180-39,25.833,-19.2998,0.3,O. universa,5
A180-39,25.833,-19.2998,0.3,G. conglobatus,0
A180-39,25.833,-19.2998,0.3,G. ruber ruber,0
A180-39,25.833,-19.2998,0.3,G. ruber albus,40
A180-39,25.833,-19.2998,0.3,G. tenellus,1
A180-39,25.833,-19.2998,0.3,T. sacculifer,4
A180-39,25.833,-19.2998,0.3,S. dehiscens,0
A180-39,25.833,-19.2998,0.3,G. adamsi,0
A180-39,25.833,-19.2998,0.3,G. siphonifera,11
A180-39,25.833,-19.2998,0.3,G. calida,5
A180-39,25.833,-19.2998,0.3,G. bulloides,82
A180-39,25.833,-19.2998,0.3,G. falconensis,24
A180-39,25.833,-19.2998,0.3,B. digitata,1
A180-39,25.833,-19.2998,0.3,G. rubescens,0
A180-39,25.833,-19.2998,0.3,T. humilis,5
A180-39,25.833,-19.2998,0.3,T. quinqueloba,5
A180-39,25.833,-19.2998,0.3,N. pachyderma,24
A180-39,25.833,-19.2998,0.3,N. incompta,0
A180-39,25.833,-19.2998,0.3,N. dutertrei,0
A180-39,25.833,-19.2998,0.3,G. conglomerata,0
A180-39,25.833,-19.2998,0.3,G. hexagonus,0
A180-39,25.833,-19.2998,0.3,P. obliquiloculata,52
A180-39,25.833,-19.2998,0.3,G. inflata,0
A180-39,25.833,-19.2998,0.3,G. crassaformis,172
A180-39,25.833,-19.2998,0.3,G. hirsuta,0
A180-39,25.833,-19.2998,0.3,G. scitula,0
A180-39,25.833,-19.2998,0.3,D. anfracta,0
A180-39,25.833,-19.2998,0.3,G. cultrata,0
A180-39,25.833,-19.2998,0.3,G. tumida,0
A180-39,25.833,-19.2998,0.3,C. nitida,0
A180-39,25.833,-19.2998,0.3,G. glutinata,0
A180-39,25.833,-19.2998,0.3,T. iota,0
A180-39,25.833,-19.2998,0.3,G. uvula,0
A180-39,25.833,-19.2998,0.3,B. pumilio,0
A180-39,25.833,-19.2998,0.3,H. pelagica,1
A180-39,25.833,-19.2998,0.3,H. digitata,0
A180-39,25.833,-19.2998,0.3,G. truncatulinoides,3
A180-74,-0.05,-24.1667,0.5,O. universa,0
A180-74,-0.05,-24.1667,0.5,G. conglobatus,1
A180-74,-0.05,-24.1667,0.5,G. ruber ruber,53
A180-74,-0.05,-24.1667,0.5,G. ruber albus,0
A180-74,-0.05,-24.1667,0.5,G. tenellus,1
A180-74,-0.05,-24.1667,0.5,T. sacculifer,39
A180-74,-0.05,-24.1667,0.5,S. dehiscens,0
A180-74,-0.05,-24.1667,0.5,G. adamsi,0
A180-74,-0.05,-24.1667,0.5,G. siphonifera,5
A180-74,-0.05,-24.1667,0.5,G. calida,0
A180-74,-0.05,-24.1667,0.5,G. bulloides,23
A180-74,-0.05,-24.1667,0.5,G. falconensis,0
A180-74,-0.05,-24.1667,0.5,B. digitata,0
A180-74,-0.05,-24.1667,0.5,G. rubescens,9
A180-74,-0.05,-24.1667,0.5,T. humilis,0
A180-74,-0.05,-24.1667,0.5,T. quinqueloba,0
A180-74,-0.05,-24.1667,0.5,N. pachyderma,2
A180-74,-0.05,-24.1667,0.5,N. incompta,40
A180-74,-0.05,-24.1667,0.5,N. dutertrei,125
A180-74,-0.05,-24.1667,0.5,G. conglomerata,0
A180-74,-0.05,-24.1667,0.5,G. hexagonus,0
A180-74,-0.05,-24.1667,0.5,P. obliquiloculata,0
A180-74,-0.05,-24.1667,0.5,G. inflata,42
A180-74,-0.05,-24.1667,0.5,G. crassaformis,6
A180-74,-0.05,-24.1667,0.5,G. hirsuta,0
A180-74,-0.05,-24.1667,0.5,G. scitula,1
A180-74,-0.05,-24.1667,0.5,D. anfracta,0
A180-74,-0.05,-24.1667,0.5,G. cultrata,0
A180-74,-0.05,-24.1667,0.5,G. tumida,0
A180-74,-0.05,-24.1667,0.5,C. nitida,0
A180-74,-0.05,-24.1667,0.5,G. glutinata,51
A180-74,-0.05,-24.1667,0.5,T. iota,0
A180-74,-0.05,-24.1667,0.5,G. uvula,0
A180-74,-0.05,-24.1667,0.5,B. pumilio,0
A180-74,-0.05,-24.1667,0.5,H. pelagica,0
A180-74,-0.05,-24.1667,0.5,H. digitata,0
A180-74,-0.05,-24.1667,0.5,G. truncatulinoides,56
V16-205,15.4,-43.4,0.19,O. universa,4
V16-205,15.4,-43.4,0.19,G. conglobatus,11
V16-205,15.4,-43.4,0.19,G. ruber ruber,16
V16-205,15.4,-43.4,0.19,G. ruber albus,239
V16-205,15.4,-43.4,0.19,G. tenellus,8
V16-205,15.4,-43.4,0.19,T. sacculifer,100
V16-205,15.4,-43.4,0.19,S. dehiscens,0
V16-205,15.4,-43.4,0.19,G. adamsi,0
V16-205,15.4,-43.4,0.19,G. siphonifera,15
V16-205,15.4,-43.4,0.19,G. calida,4
V16-205,15.4,-43.4,0.19,G. bulloides,4
V16-205,15.4,-43.4,0.19,G. falconensis,3
V16-205,15.4,-43.4,0.19,B. digitata,6
V16-205,15.4,-43.4,0.19,G. rubescens,0
V16-205,15.4,-43.4,0.19,T. humilis,0
V16-205,15.4,-43.4,0.19,T. quinqueloba,0
V16-205,15.4,-43.4,0.19,N. pachyderma,1
V16-205,15.4,-43.4,0.19,N. incompta,11
V16-205,15.4,-43.4,0.19,N. dutertrei,0
V16-205,15.4,-43.4,0.19,G. conglomerata,0
V16-205,15.4,-43.4,0.19,G. hexagonus,2
V16-205,15.4,-43.4,0.19,P. obliquiloculata,8
V16-205,15.4,-43.4,0.19,G. inflata,1
V16-205,15.4,-43.4,0.19,G. crassaformis,6
V16-205,15.4,-43.4,0.19,G. hirsuta,0
V16-205,15.4,-43.4,0.19,G. scitula,1
V16-205,15.4,-43.4,0.19,D. anfracta,1
V16-205,15.4,-43.4,0.19,G. cultrata,0
V16-205,15.4,-43.4,0.19,G. tumida,2
V16-205,15.4,-43.4,0.19,C. nitida,0
V16-205,15.4,-43.4,0.19,G. glutinata,0
V16-205,15.4,-43.4,0.19,T. iota,0
V16-205,15.4,-43.4,0.19,G. uvula,0
V16-205,15.4,-43.4,0.19,B. pumilio,0
V16-205,15.4,-43.4,0.19,H. pelagica,5
